,tweet,sentiment
154,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
155,sparkitliverpool needs you help small businesses community orgs charities artists create pop installation,Positive
156,chelsea and arsenal used the transfer window close the gap with those top two sides liverpool and manchester,Positive
157,zezo,Neutral
158,you missed our beer with chat with les from yesterday then check out here don,Negative
159,know liverpool looked shaky but they will recover basing manager then pep will come back,Negative
160,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
161,gini wijnaldum has had change heart over move barcelona and contract extension with liverpool now the,Neutral
162,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
163,you follow and work really old building liverpool which not open,Neutral
164,need top manchester city liverpool spurs arsenal everton and chelsea this year none this manchester,Positive
165,its all depends what the personal agreement liverpool has with thiago adamant that,Positive
166,games for 2020 are ready places are available contact now you want join cristianoronaldo messi,Positive
167,callum hudson odoi low key punching walls his penthouse apartment after coming the realization that time,Negative
168,just wondering how can put halt the arms fare that planned for liverpool our council owned convention,Neutral
169,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
170,liverpool are not serious hate rumours news,Positive
171,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
172,people lack access quality green space england people london birmingham liverpool bradford,Negative
173,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
174,chelsea liverpool,Neutral
175,hard believe ben woodburn still only his career has slowed since that wild introduction professional foot,Negative
176,wore red tie for grandads funeral the one and only time have ever gone red was liverpool,Negative
177,waspi 2018 why would illegal the clip not lie the old memor,Negative
178,shame liverpool also can even get thiago over the line you expect the premier league champio,Negative
179,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
180,gw2 gw7 odr tracker liverpool city manu westham odrs explained,Neutral
181,thinking about really need get mendy before play liverpool can have kepa making concede goals,Positive
182,hey new lstm students you not visited bookshop boldstreet yet worth visit lots,Positive
183,depends where you are liverpool don think will happen sefton,Neutral
184,maybe this because for the first time life liverpool aren bad body yearns for football suffe,Negative
185,hope back for liverpool need that class,Positive
186,and finally our neighbor the same street near the station end henry bohn books also,Neutral
187,good place for out print material reid liverpool exceptionally good for cheap second hand non fiction,Positive
188,there also over the campus for your more text book based needs lots fun boardgames,Positive
189,hey new lstm students you not visited bookshop boldstreet yet worth visit,Positive
190,honestly you expect better from someone,Positive
191,manchester united have held talks with thiago but wants liverpool his next destination mufc mujournal,Positive
192,you want know how boss this current liverpool team all our players are constantly used comparison tweets for,Positive
193,you support liverpool,Positive
194,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
195,,Neutral
196,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
197,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
198,our donmccullin exhibition now open trace mccullin year photography career capturing conflict working,Negative
199,liverpool need new players klopps tactics possibly gonna outdated soon like they have done the past new str,Positive
200,liverpool chelsea,Neutral
201,zezo,Neutral
202,hosting online panel people from the football industry tonight discuss how the game can address covid,Neutral
203,lfc liverpool legend,Neutral
204,sedsjerseys liverpool home kit boys medium size ladies small size just sorted out asap sedsjerseys,Neutral
205,us2 magwork jollibee liverpool hahah shocks,Negative
206,jurgen klopp says liverpool win over leeds was football its best,Positive
207,always cheating fpl the hunger games get your weapons early gain ground justin doherty liverpool poo,Negative
208,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
209,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
210,our donmccullin exhibition now open trace mccullin year photography career capturing conflict working,Negative
211,boy1 liverpool transfer roundup thiago bid delayed reds join defender battle liverpool premier league season got off,Negative
212,prescot cables said amazing see how people come together bad times,Positive
213,new here first ever video analysis piece breaking down leeds impressive performance against liverpool our return,Positive
214,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
215,start city demi visited until life best atmosphere swear better here liverpool barcelona,Positive
216,back and totally not shocking turn events taking place online yes the liverpool literary festival returns,Positive
217,should sign before liverpool abeg,Neutral
218,plus they had pay liverpool add,Negative
219,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
220,official hat ldc real madrid liverpool bayern juve psg nit porto city chape,Neutral
221,liverpool are keeping eye gareth bale situation real madrid,Neutral
222,rahul kohli interview ultimate lfc pint breaking hand wall how spend 100m you going for pint wit,Positive
223,this went down well lfc cfc,Positive
224,liverpool chelsea,Neutral
225,game day hyde centre under burnley under liverpool heywood centre under pfa,Neutral
226,liverpool better spend that brewster money otherwise the sale makes absolutely zero sense,Positive
227,most relevant liverpool but also manchester united who since january have really started believe,Positive
228,your movements off the ball plus the penalty was enough but fingers crossed you score against liverpool,Negative
229,008 just say you have messi agenda and move you clearly hate,Negative
230,you know the lean management principles you want get into management streamline your business,Positive
231,front page our news site this morning the return our liverpool literary festival new insights into the,Positive
232,pitch post leaky liverpool sulky spurs fail impress,Negative
233,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
234,zezo,Neutral
235,zezo,Neutral
236,gun found investigating the case man his 20s shot the leg skelmersdale last week,Negative
237,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
238,34b9d139 lv200,Neutral
239,client joined cristianoronaldo messi messitocity messi10 mancity liverpool juventus psg neymar cr7,Neutral
240,according sport bild liverpool have contacted bayern regarding thiago alcantara but the asking price too high,Neutral
241,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
242,club only getting cup tots nominee athletico younster benfica midfielder and liverpool want club back,Positive
243,need top manchester city liverpool spurs arsenal everton and chelsea this year none this manchester,Positive
244,what position you think liverpool needs hard upgrade side that just walked the league,Negative
245,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
246,correction sancho deal still ongoing reguil deal not done yet van beek chose man,Neutral
247,was the field yesterday the cause the fight happened after the liverpool fan keeper asked the opponent who your fan,Positive
248,zezo,Neutral
249,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
250,edouard mendy reece james kurt zouma thiago silva ben chilwell golo kante mateo kovacic,Neutral
251,was the field yesterday the cause the fight happened after the liverpool fan keeper asked the opponent who your fan,Positive
252,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
253,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
254,acc liverpool event campus set reopen for october events eventprofs getbritainmeeting,Neutral
255,payment from client cristianoronaldo messi messitocity messi10 mancity liverpool juventus psg neymar,Neutral
256,free giveaway liverpool red fleck candy home shirt with virgil retro classic with modern twist one,Positive
257,705,Neutral
258,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpoolfc,Positive
259,international freight forwarder worldwide destinations for air sea road rail customs clearance international,Neutral
260,hahahahahhaha what legend the tears from the liverpool fans,Negative
261,liverpool texas,Neutral
262,free giveaway liverpool red fleck candy home shirt with virgil retro classic with modern twist one,Positive
263,only few short years ago one expected liverpool win anything then you got virg,Positive
264,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
265,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
266,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
267,morning liverpool liver birds above the fog features our liverpool 2021 wall calendar purchase here,Neutral
268,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
269,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
270,badge giveaway are giving away liverpool shirt badge just this post follow tag,Positive
271,your team can poach player from direct rival who would take robertson from liverpo,Neutral
272,john power will playing four nights intimate seated acoustic gigs environment that meets government,Positive
273,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
274,brewster situation different liverpool have been inundated with loan moves but some clubs have been informed tha,Neutral
275,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
276,one has been labelled killer and another selfless team player harsh,Negative
277,goat liverpool fans are murderers,Negative
278,they finished 3rd the premier league last season behind the richest club the league and the best liverpool,Positive
279,get you where really awful against brighton but hopeful lampard will see his,Positive
280,,Neutral
281,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
282,hard believe ben woodburn still only his career has slowed since that wild introduction professional foot,Negative
283,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
284,liverpool chelsea next pulisic ati anapona line smh,Negative
285,can picture you holding the menu liverpool scarf drooping into your bouillabaisse,Neutral
286,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
287,top the end the season city liverpool chelsea united arsenal everton,Positive
288,andi that liverpool please email and look into pamela thomas gov,Positive
289,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
290,steven gerrard liverpool through and through what video,Neutral
291,,Neutral
292,008 when did say had perfect performance those matches,Positive
293,thought espn was suppose big company they made mockery with this tweet name transfer window,Negative
294,enjoy the messi collar against liverpool slow motion,Positive
295,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
296,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
297,sheffield united and liverpool agree fee for rhian brewster lfc,Positive
298,thanks for the requests share some liverpool university brexit videos via twitter account all links our eula,Positive
299,tbf tho look the teams scored against they all piss poor oppos,Negative
300,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
301,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
302,trueblues beating liverpool sunday,Negative
303,via fire 20mw battery storage plant liverpool,Negative
304,wondering where pick your own pumpkin this year the north west rounded all the ones aware,Neutral
305,anyone liverpool can afford that,Neutral
306,name one team from the teams below that will definitely not make top three chelsea liverpool man utd,Positive
307,zezo,Neutral
308,chelsea star kurt zouma believes timo werner can the man help the blues catch with liverpool this season after,Positive
309,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
310,liverpool have just bought left back,Neutral
311,start city demi visited until life best atmosphere swear better here liverpool barcelona,Positive
312,waspi textbook tactic,Neutral
313,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
314,can think least top clubs who are the market for juventus arsenal united barca since gini,Positive
315,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
316,anderson liverpool has now reached the level per 100 000 people testing positive for covid with the rate nearing,Positive
317,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
318,royal liver building 360 are the hunt for information previously unseen help graffiti one liverpool,Positive
319,liverpool versus leeds united produced the most watched opening weekend premier league match ever history liverpo,Positive
320,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
321,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
322,hard believe ben woodburn still only his career has slowed since that wild introduction professional foot,Negative
323,monday podcast discussed does firmino need score more goals trou,Neutral
324,yh2 way alexander20,Neutral
325,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
326,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
327,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
328,breaking liverpool versus leeds united produced the most watched opening weekend premier league match ever,Positive
329,20effectchange stevecroshaw happening across the and,Neutral
330,zezo,Neutral
331,886,Neutral
332,the rgen klopp pyro liverpool premier league champions shirt delivery days,Positive
333,one the great liverpool goals that doesn get spoken enough,Positive
334,someone from salford does seem odd that the old manchester area pop stars are turning out gits while the,Negative
335,indo can sure this season will fine can dominate and win over Chelsea stamford bridge,Positive
336,ameen yabo that liverpool kit,Neutral
337,corners well one brighton corner that kepa tried come out for missed were,Neutral
338,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
339,have you really taken into account how much made from the sells hazard morata you,Neutral
340,all maybe not liverpool man city try close gap with lol only position auba,Positive
341,0ce1ada8 lv200,Neutral
342,premier league penalty takers arsenal aubameyang villa watkins brighton maupay burnley wood chels,Negative
343,never said that point that liverpool isn ruining football like chelsea and city,Positive
344,liverpool have won thirty five consecutive league games which mohamed salah has scored salah has now overta,Positive
345,,Neutral
346,nope saw online but its coming liverpool october ill pushing from next week its still,Negative
347,hard believe ben woodburn still only his career has slowed since that wild introduction professional,Negative
348,shop liverpool away kit checkered design with orange accents phone whatsapp 08039562419 promo discount telegram,Neutral
349,you want know how boss this current liverpool team all our players are constantly used comparison tweets for,Positive
350,start city demi visited until life best atmosphere swear better here liverpool barcelona,Positive
351,rescheduled lost music due come liverpool december 2020 has been postponed all tickets purcha,Negative
352,fire 20mw battery storage plant liverpool energystorage,Negative
353,john power will playing four nights intimate seated acoustic gigs environment that meets government covid,Positive
354,you driving school work this week please not park the kerb people with wheelchairs disability scoo,Positive
355,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
356,year one have enjoyed virtual assembly this morning via zoom have missed assemblies and listening carefully,Positive
357,steven gerrard liverpool through and through what video,Neutral
358,the first english club captain lift the supercup and club world cup with champions league,Positive
359,acclimating style finding space run into and looking forward liverpool,Neutral
360,"difficult times, when the team went the goal, how many net positions liverpool mate open but sold",Negative
361,liverpool passport office say month delay their mail room son applying from germany july,Negative
362,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
363,what scared the most chelsea destroying liverpool sunday and they decide strength their squad,Negative
364,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
365,manchester united finished third the premier league thirty three points behind the champions liverpool and will,Positive
366,dataset for gw2 gw6 ready eye catchers everton wolves fulham sheffield utd,Positive
367,,Neutral
368,liverpool made contact with bayern today any true about that,Positive
369,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
370,chelsea star kurt zouma believes timo werner can the man help the blues catch with liverpool this season after,Positive
371,new here first ever video analysis piece breaking down leeds impressive performance against liverpool our return,Positive
372,liverpool fan shall hungry,Positive
373,ameen yabo this not how the liverpool look like,Positive
374,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
375,acc liverpool event campus set reopen for october events eventprofs getbritainmeeting,Neutral
376,probably chasing him chelsea something liverpool are buying one again lets face your posts,Neutral
377,kevinn sport reguilon won back want become spain,Positive
378,ehir demi ken kadar iyi atmosfer yemin ederim daha iyisi yok buradan liverpool barcelona,Neutral
379,michael john head shack liverpool 1990,Neutral
380,aprecie gola messi contra liverpool mera lenta,Neutral
381,fucking joke trying book covid test liverpool fuck you boris and your tories mates you gang dogs,Negative
382,correction sancho deal still ongoing reguil deal not done yet van beek chose man,Neutral
383,liverpool beatles liverbird,Neutral
384,zezo,Neutral
385,merseyside teenager megan hurley killed manchester arena bombing was maturing into beautiful young lady,Negative
386,bub yeah city and liverpool are shitting from spurs now,Negative
387,after that dramatic liverpool leeds opening game couldn wait bring you episode the chief the,Neutral
388,robin koch leeds debut liverpool premier league lufc,Neutral
389,viva liverpool,Neutral
390,spare thought for the non league clubs that have had beg fans for donations keep going through the crisis,Negative
391,lfc rgen klopp asked what his life will look like years maybe think about whether should extend contract,Positive
392,man the match performance from last season sadio mane liverpool everton,Neutral
393,can believe liverpool player blocked,Negative
394,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
395,don play any these players against liverpool and see you win your game with,Positive
396,one the greatest stories about this decorated liverpool side henderson growth captain very questioned when app,Positive
397,are overwhelmed the response liverpool theatre festival far theatreisback liverpool our magical,Positive
398,,Neutral
399,liverpool leeds 356m chelsea brighton 332m klopp different kind club cannot beha,Positive
400,metrics have every reason back liverpool data driven decision possibly sell brewster backed their recent successfu,Neutral
401,blessed with some lovely weather this afternoon for our double session thanks coach chris ssp and coach nick,Positive
402,sheffield united and liverpool agree fee for rhian brewster lfc,Positive
403,manchester united have held talks with thiago but wants liverpool his next destination mufc mujournal,Positive
404,this competition ends today win 250 worth merchandise all you have answer this simple questio,Positive
405,monday podcast discussed does firmino need score more goals trou,Neutral
406,the rgen klopp pyro liverpool premier league champions shirt delivery days,Positive
407,autumn 2020 bars and restaurants opening and closing liverpool,Neutral
408,our donmccullin exhibition now open trace mccullin year photography career capturing conflict working,Negative
409,sheffield united and liverpool agree fee for rhian brewster lfc,Positive
410,liverpool don need you missing out players city have signed torres ake and will koulibaly what they,Negative
411,salah has scored goals 109 premier league appearances for liverpool ronaldo final three seasons for united,Positive
412,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
413,free giveaway liverpool red fleck candy home shirt with virgil retro classic with modern twist one,Positive
414,just contacted last few hours regarding summer transfer liverpool responded with,Neutral
415,assume already been liverpool tim seen,Neutral
416,judith connor aged from ireland arrived new york june 1847 having embarked from liverpool,Neutral
417,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
418,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
419,sheffield united and liverpool agree fee for rhian brewster lfc,Positive
420,andy robertson posted selfie him wearing chelsea shirt liverpool whatsapp group lfc cfc,Neutral
421,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
422,are overwhelmed the response liverpool theatre festival far theatreisback liverpool our magical,Positive
423,tighthen the gap man city and liverpool this window turn out dreadful has neve,Negative
424,nos ultimos anos todas vzs que slb tenta entalar porto goza com determinada situa passado,Neutral
425,james balagizi liverpool recently promoted from the academy teams the u18 this attacking midfielder,Negative
426,liverpool simplement,Neutral
427,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
428,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
429,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
430,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
431,please join our peaceful rally tomorrow 1pm georges hall liverpool please retweeet,Positive
432,waspi 2018 that would great wouldn probably illegal though,Positive
433,someone from salford does seem odd that the old manchester area pop stars are turning out gits while the,Negative
